ID_column,genre,année_naissance,municipalité,région,lieu
49195,f,1971,,,Liban
41792,m,1977,Sorel-Tracy,Montérégie,Québec
98330,f,1974,Montréal,Montréal,Québec
87109,m,1951,Saint-Hyacinthe,Montérégie,Québec
61870,m,1960,Saint-Elzéar,Chaudière-Appalaches,Québec
94074,m,1965,Cap-aux-Meules,Gaspésie–Îles-de-la-Madeleine,Québec
58256,m,1949,Havre-aux-Maisons,Gaspésie–Îles-de-la-Madeleine,Québec
65295,m,1965,,,
99893,m,1965,Laval,Laval,Québec
53112,m,1940,Jonquière,Saguenay–Lac-Saint-Jean,Québec
57606,m,1963,Shawinigan,Mauricie,Québec
95581,m,1970,Sorel,Montérégie,Québec
32441,m,1961,Québec,Capitale-Nationale,Québec
73573,m,1956,Montréal,Montréal,Québec
51010,m,1947,Montréal,Montréal,Québec
16683,f,1961,Baie-Comeau,Côte-Nord,Québec
51067,m,1957,Saint-Eugène-de-Guigues,Abitibi-Témiscamingue,Québec
68189,m,1942,Princeville,Centre-du-Québec,Québec
62545,m,1956,La Tuque,Mauricie,Québec
93404,f,1963,Salaberry-de-Valleyfield,Montérégie,Québec
26727,m,,,,
36024,f,1949,Lachute,Laurentides,Québec
66831,f,1945,Québec,Capitale-Nationale,Québec
70812,m,1946,Ottawa,,Ontario
21174,m,1942,Trois-Rivières,Mauricie,Québec
41515,m,1983,Joliette,Lanaudière,Québec
90245,m,1969,Saint-Philippe-de-Néri,Bas-Saint-Laurent,Québec
55890,m,1968,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
30587,m,1943,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
81785,m,1958,Saint-Laurent,Montréal,Québec
59683,f,1932,Saint-Sébastien,Estrie,Québec
20132,f,1961,Rimouski,Bas-Saint-Laurent,Québec
60362,m,1956,Saint-Hyacinthe,Montérégie,Québec
27972,m,1962,Montréal,Montréal,Québec
75135,m,1968,,,Haïti
14865,m,1963,Québec,Capitale-Nationale,Québec
69840,m,1944,Saint-Hyacinthe,Montérégie,Québec
22281,m,1947,Iberville,Montérégie,Québec
36683,m,1965,Montréal,Montréal,Québec
28983,m,1940,Montréal,Montréal,Québec
81043,m,1959,Disraeli,Chaudière-Appalaches,Québec
24043,m,1952,Québec,Capitale-Nationale,Québec
10185,m,1947,Donnacona,Capitale-Nationale,Québec
97559,f,1936,Saint-Fabien-de-Panet,Chaudière-Appalaches,Québec
48311,m,1975,Matane,Bas-Saint-Laurent,Québec
62741,m,1971,Howick,Montérégie,Québec
95391,m,1956,Montréal,Montréal,Québec
44089,f,1962,Montréal,Montréal,Québec
12237,m,1942,Montréal,Montréal,Québec
14766,m,1967,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
64318,m,1961,Saint-Patrice-de-Beaurivage,Chaudière-Appalaches,Québec
61917,f,1950,Montréal,Montréal,Québec
30155,f,,Taschereau,Abitibi-Témiscamingue,Québec
51776,f,1968,Montréal,Montréal,Québec
62953,m,1965,Drummondville,Centre-du-Québec,Québec
81540,m,1960,Trois-Rivières,Mauricie,Québec
35448,f,1985,Montmagny,Chaudière-Appalaches,Québec
24982,f,1986,Saint-Jérôme,Laurentides,Québec
23806,f,1989,Saint-Sébastien,Montérégie,Québec
25450,m,1966,Montréal,Montréal,Québec
35988,m,1979,Saint-Ferdinand,Centre-du-Québec,Québec
95941,f,1971,Chicoutimi,Saguenay–Lac-Saint-Jean,Québec
38100,m,1952,Sherbrooke,Estrie,Québec
89604,m,1957,Alma,Saguenay–Lac-Saint-Jean,Québec
28553,m,1968,Verdun,Montréal,Québec
42548,m,1942,La Sarre,Abitibi-Témiscamingue,Québec
40437,m,1979,,,Tunisie
74193,m,1945,La Tuque,Mauricie,Québec
40468,m,1968,Québec,Capitale-Nationale,Québec
90308,m,1938,Saint-Coeur-de-Marie,Saguenay–Lac-Saint-Jean,Québec
80864,m,1942,Bromptonville,Estrie,Québec
57239,m,1978,Sherbrooke,Estrie,Québec
31054,m,1962,Trois-Rivières,Mauricie,Québec
48243,f,1958,Montréal,Montréal,Québec
63458,m,1946,Joliette,Lanaudière,Québec
72524,m,,Saint-Tite,Mauricie,Québec
27350,f,1959,Saint-Tite,Mauricie,Québec
56013,m,1941,Tadoussac,Côte-Nord,Québec
11696,f,1991,Drummondville,Centre-du-Québec,Québec
72314,m,1936,Verdun,Montréal,Québec
72111,m,1957,Saint-Jérôme,Laurentides,Québec
51296,m,1978,Le Gardeur,Lanaudière,Québec
57154,m,1958,Amos,Abitibi-Témiscamingue,Québec
75943,f,1979,Dolbeau,Saguenay–Lac-Saint-Jean,Québec
69194,m,1940,Alma,Saguenay–Lac-Saint-Jean,Québec
87985,m,1962,Montréal,Montréal,Québec
41222,m,1956,Granby,Estrie,Québec
13132,m,1933,Montréal,Montréal,Québec
36431,m,1991,Montréal,Montréal,Québec
53132,m,1960,Saint-Benoit-Labre,Chaudière-Appalaches,Québec
32051,m,1955,Otter Lake,Outaouais,Québec
20291,f,1990,Montréal,Montréal,Québec
91294,m,1965,Sorel,Montérégie,Québec
44751,m,1965,Saint-Jérôme,Laurentides,Québec
25322,m,1954,Montréal,Montréal,Québec
18419,m,1950,Sherbrooke,Estrie,Québec
74200,m,1965,,,Haïti
35410,f,1951,Verdun,Montréal,Québec
30777,f,1966,Montréal,Montréal,Québec
78850,m,1969,Béthune,,France
